Date,lon,lat
2008-08-21,-158.6852,30.8125
2008-08-21,-158.7325,31.3132
2008-08-21,-159.0086,32.0050
2008-08-22,-159.9200,32.4983
2008-08-22,-159.9608,32.5517
2008-08-22,-159.2460,33.1373
2008-09-02,-159.2290,33.1848
2008-09-09,-144.3522,34.2913
2008-09-09,-143.7072,34.3700
2008-09-09,-142.0818,34.6675
2008-09-09,-141.8960,34.9327
2008-09-09,-141.4340,35.0070
2008-09-09,-141.0217,35.3843
2008-09-09,-140.8242,35.8410
2008-09-09,-140.8297,36.0740
2008-09-09,-140.3197,36.0405
2008-09-09,-140.1468,36.0135
2008-09-09,-139.9853,35.9848
2008-09-16,-139.7735,35.9262
2008-09-16,-139.2023,35.6865
2008-09-16,-142.2878,34.6502
2008-09-16,-156.8608,31.5383
2008-09-16,-156.8332,32.2027
2008-09-16,-156.9162,39.1247
2008-09-16,-156.7070,40.2005
2008-09-16,-156.2367,41.0398
2008-09-16,-155.7068,41.3213
2008-09-16,-155.7317,41.3388
2008-09-16,-154.2545,41.2838
2008-09-16,-151.5393,40.5463
2008-09-16,-150.1600,40.5133
2008-09-16,-148.0525,40.4037
2008-09-16,-146.2703,40.2372
2008-09-17,-144.4545,40.0895
2008-09-17,-140.9322,40.3673
2008-09-17,-137.5418,42.0602
2008-09-17,-134.5772,43.6962
2008-09-17,160.7231,14.5523
2008-09-17,159.9003,15.2175
2008-09-17,159.2056,15.7937
2008-09-17,158.5566,16.4507
2008-09-17,157.5383,17.4912
2008-09-17,157.0780,17.9596
2008-09-17,156.4986,32.8112
2008-09-17,156.1433,19.4321
2008-09-17,155.1127,19.6586
2008-09-17,155.1814,20.5115
2008-09-17,155.3391,21.5837
2008-09-17,155.2998,22.4588
2008-09-17,155.2311,23.4111
2008-09-17,155.0853,24.2949
2008-09-17,154.1570,25.0990
2008-09-17,153.2397,25.7062
2008-09-18,152.2958,26.3517
2008-09-18,151.3647,27.0833
2008-09-18,150.2578,27.8482
2008-09-18,149.3047,28.5588
2008-09-18,148.0468,29.7272
2008-09-18,151.1831,33.2582
2008-09-18,153.1712,32.0859
2008-09-18,155.3199,31.2728
2008-09-18,157.7742,30.7313
2008-09-18,160.4028,30.1910
2008-09-18,163.3177,30.4448
2008-09-18,166.0763,30.4993
2008-09-18,168.1330,30.0770
2008-09-18,169.8263,29.1979
2008-09-18,172.0143,29.4129
2008-09-18,175.3150,28.4783
2008-09-18,-176.8333,30.2817
2008-09-18,-174.3002,31.1333
2008-09-18,-81.2382,-33.1342
2008-09-18,-82.3870,-33.1071
2008-09-18,-83.4213,-33.0195
2008-09-22,-84.4851,-32.9105
2008-09-22,-86.2393,-32.8038
2008-09-22,-86.3835,-32.7309
2008-09-22,-87.4243,-32.5685
2008-09-22,-88.1103,-32.3817
2008-09-22,-89.4267,-32.2052
2008-09-22,-90.4108,-31.9780
2008-09-22,-91.3445,-31.8065
2008-09-22,-92.3432,-31.5774
2008-09-22,-93.3457,-31.3878
2008-09-22,-94.3172,-31.1743
2008-09-22,-95.3477,-30.9504
2008-09-23,-96.2025,-30.5732
2008-09-23,-97.0948,-30.2413
2008-09-23,-97.9295,-29.8994
2008-09-24,-98.8063,-29.5605
2008-09-24,-99.7966,-29.3441
2008-09-24,-100.7390,-29.1922
2008-09-24,-101.7302,-29.0453
2008-09-24,-102.5777,-28.8929
2008-09-24,-103.5486,-28.7311
2008-09-24,-104.3963,-28.5805
2008-09-24,-105.3310,-28.3300
2008-09-24,-106.3073,-28.1885
2008-09-24,-107.2460,-27.8781
2008-09-24,-108.0495,-27.5502
2008-09-24,-108.9362,-27.2818
2008-09-24,-110.9803,-27.0220
2008-09-24,-111.9128,-26.8718
2008-09-24,-112.8710,-26.6982
2008-09-25,-113.8575,-26.6027
2008-09-25,-114.8312,-26.5353
2008-09-25,-115.7358,-26.3318
2008-09-25,-116.6753,-26.2380
2008-09-25,-117.5795,-26.1643
2008-09-25,-118.5125,-26.0652
2008-09-25,-119.4320,-26.0422
2008-09-25,-120.4278,-25.9512
2008-09-25,-121.3422,-25.8596
2008-10-02,-122.2008,-25.5538
2008-10-09,-123.2543,-25.2705
2008-10-09,-123.9391,-24.9669
2008-10-09,-124.7923,-24.6527
2008-10-09,-125.7344,-24.5847
2008-10-09,-126.6168,-24.4952
2008-10-09,106.8701,-26.5485
2008-10-09,99.5107,-24.3947
2008-10-09,98.1066,-24.4876
2008-10-09,96.4434,-24.4935
2008-10-09,94.8233,-24.0191
2008-10-14,75.2972,-21.4145
2008-10-14,72.1455,-21.2668
2008-10-14,68.4367,-21.0490
2008-10-14,64.9420,-20.6787
2008-10-14,61.6722,-20.2472
2008-10-14,7.6990,43.6823
2008-10-14,8.0349,43.7653
2008-10-14,8.9859,44.1738
2008-10-14,9.2035,44.2934
2008-10-14,9.3394,43.8789
2008-10-14,8.9990,43.2046
2008-10-14,10.2292,42.8895
2008-10-14,10.2831,42.8428
2008-10-14,9.3248,42.9838
2008-10-15,9.0328,42.7337
2008-10-15,8.2616,42.8743
2008-10-15,8.3170,42.8568
2008-10-15,8.4162,42.7962
2008-10-15,8.4698,42.7570
2008-10-15,8.5102,42.7252
2008-10-15,8.5717,42.6938
2008-10-15,8.6121,42.6544
2008-10-15,8.6588,42.6225
2008-10-15,8.7248,42.6043
2008-10-15,8.3553,42.8195
2008-10-15,8.0701,43.2464
2008-10-15,8.6342,43.5498
2008-10-15,8.3581,43.4473
2008-10-15,6.3840,43.0758
2008-10-15,6.3696,43.0032
2008-10-15,5.8787,43.0630
2008-10-15,5.1862,43.3181
2008-10-15,5.1988,43.3203
2008-10-15,5.1659,43.3241
2008-10-15,5.2460,43.3003
2008-10-15,4.9354,43.2609
2008-11-02,4.3971,43.0098
2008-11-02,3.9276,42.8136
2008-11-02,3.1341,42.5295
2008-11-09,3.3037,42.4627
2008-11-09,3.4784,42.3302
2008-11-09,3.6462,42.2513
2008-11-09,8.5225,42.2428
2008-11-09,8.5842,42.3235
2008-11-09,7.3930,43.5743
2008-11-09,-60.5325,-60.3388
2008-11-09,-56.0937,-63.8753
2008-11-09,-56.8010,-63.3871
2008-11-09,-67.0034,-57.7642
